avg_hit_speed
90.4
90
91
90.3
90.7
88.4
88.6
89.9
90.8
89.4
88.1
90.9
90.4
89
88
90.8
89.5
88.9
89.4
90.1
88.9
89.6
89.4
89.9
89.2
89.7
89
89.2
91.4
88.8
87.7
88.2
88.7
90.6
89.2
88.1
91.1
88.1
89.9
88.8
88.6
89.3
89.2
89.7
88.7
84.9
89.8
88.2
88.3
90.3
87.5
88.2
89.2
88.3
89.1
89.3
87
89.3
87.8
86.9
87.3
90.1
88.9
89.2
87.5
88.9
87
89
89
88.4
89.6
88.5
87.3
88.7
88.6
88.5
86.6
89.1
89.2
90
90.5
89.7
87.2
90.3
88.2
86.5
88.1
89.9
87.6
86.3
87.9
86.2
87.9
87
88.1
88.3
89.3
86.1
86.6
86.8
87.8
87.6
87.2
87.5
86.9
89.2
86.5
88.1
