avg_hit_speed
89.8
90.1
88.7
89.6
89.3
88.1
90.2
89.4
88.9
88.9
89
89.4
88.2
89.3
88.8
86.8
89
88.5
89.7
88.5
88.5
88.5
87.2
87.7
88.1
88.9
87.6
88.5
89.6
87.9
89.1
88.3
88.8
88.8
87
90.2
88.9
88.5
87.2
89.7
88.4
87.3
88.1
88.5
87
88.1
87.5
88
90.3
87.1
89.6
87.9
87.8
88.5
89
87.4
88.3
88.3
89.3
88.9
89.1
88.5
88.1
86.7
88.6
89.1
89.8
88.6
87.3
90.1
87.6
87.4
88.4
87.4
89.4
86.2
88.1
89.8
88.9
88.8
87.5
88.3
89.2
88.8
87.4
86.6
89.1
87.5
88.2
89.3
86.9
87.2
87.8
87.1
88
88.2
87.1
87.7
87.8
88.7
89.6
88.5
87.3
87.5
88.6
85.9
87.4
87.4
86.1
87
85.9
88
87.9
85.7
87.5
88.2
87.4
85.6
85.2
